"","Context","DOPAC.BS","5HIAA.BS","DA.BS","5HT.BS","DOPAC.DL","5HIAA.DL","DA.DL","5HT.DL","DOPAC.TL","5HIAA.TL","DA.TL","5HT.TL","DOPAC.OT","5HIAA.OT","DA.OT","5HT.OT","DOPAC.CB","5HIAA.CB","DA.CB","5HT.CB","DOPAC-DA.BS","HIAA-HT.BS","DOPAC-DA.DL","HIAA-HT.DL","DOPAC.DA-TL","HIAA-HT.TL","DOPAC-DA.OT","HIAA-HT.OT","DOPAC-DA.CB","HIAA-HT.CB"
"37","CHAQ",0.000182028,0.001318198,0.000424764,0.004635957,5.92022e-05,0.002819255,0.000918193,0.009773085,5.73873e-05,0.005256293,0.000399702,0.021940426,3.71777e-05,0.001926153,0.000328095,0.003142575,1.30707e-05,0.00025851,0.000109048,0.000295318,0.42853943,0.284342106,0.064476865,0.288471393,0.14357494,0.239264801,0.113313989,0.612921872,0.119862169,0.87536284
"38","CHAQ",0.000110962,0.001943181,0.00041117,0.002500693,3.89161e-05,0.004364776,0.000777681,0.010004847,1.53887e-05,0.006952806,0.000195535,0.020360758,1.17682e-07,0.002614955,0.000231849,0.002349585,6.36955e-08,0.000391694,8.5699e-05,0.000573963,0.269868899,0.777056845,0.050041161,0.436266134,0.078700095,0.243582392,0.000507578,1.112943169,0.000743246,0.682438038
"39","CHAQ",0.000147653,0.001693185,0.000562592,0.003713747,0.00011712,0.004262437,0.000951477,0.008073909,9.06597e-05,0.006690667,0.000341236,0.02556488,0.000117262,0.002054221,0.000308083,0.001979949,2.65054e-05,0.001319063,0.000398067,0.001776247,0.262450331,0.455923526,0.123092836,0.527927243,0.265680278,0.261713203,0.380618109,1.037512026,0.066585316,0.742612232
"40","CHAQ",7.08419e-05,0.00127241,0.000557006,0.002918229,2.6634e-05,0.003116142,0.000881936,0.009930563,6.26708e-05,0.004817724,0.000357261,0.02108503,4.41676e-05,0.002112936,0.000462533,0.00314183,2.02068e-05,0.000332848,0.000118411,0.00046463,0.127183312,0.436021189,0.030199422,0.31379305,0.175420363,0.228490264,0.095490681,0.672517448,0.170649476,0.716373359
"41","Ctrl",1.43603e-06,0.000897835,0.000413218,0.003306652,6.08111e-05,0.054187522,0.001386643,0.018800643,2.34994e-05,0.006089659,0.000193014,0.021192867,3.17713e-05,0.001103989,0.000626213,0.002004582,6.25966e-06,8.64547e-05,2.85792e-05,0.000261278,0.003475226,0.271523885,0.043854904,2.882216367,0.121749545,0.287344766,0.050735598,0.550732662,0.219028362,0.330892385
"42","Ctrl",0.000113153,0.000791104,0.000118004,0.001932523,5.48804e-05,0.002400157,0.000565449,0.005790753,6.24376e-05,0.007189182,0.000166995,0.025512128,4.28832e-05,0.00151302,0.000107029,0.001649344,1.38395e-05,0.000424454,0.00013555,0.000574835,0.958890837,0.409363079,0.0970563,0.414480993,0.37389007,0.281794686,0.400669148,0.917346368,0.102098941,0.738392267
"43","Ctrl",0.000140675,0.001543381,0.000301728,0.001800217,0.00011359,0.003599324,0.000801218,0.008270752,8.62572e-05,0.006392771,0.000259418,0.018355482,6.48297e-05,0.003254987,0.000485621,0.00405826,4.1348e-08,0.000474956,0.000139379,0.000730638,0.466229712,0.857330265,0.141771616,0.435187047,0.332502869,0.348275836,0.133498504,0.802064715,0.000296659,0.650056312
"44","Ctrl",0.000107965,0.002165408,0.001133481,0.00668201,3.28639e-05,0.002674398,0.000877398,0.006727608,4.47074e-05,0.005781181,0.000184814,0.021650304,3.03299e-05,0.002179898,0.000404411,0.003153106,9.92945e-06,0.000400653,7.31448e-05,0.000368045,0.095251082,0.324065282,0.037456126,0.39752578,0.241904007,0.267025416,0.074997682,0.69134944,0.135750695,1.088595966
"45","Ctrl",6.06852e-05,0.001161873,0.000487357,0.004250813,4.25515e-05,0.003288923,0.001026927,0.012635903,0.000105408,0.005051503,0.000102404,0.021112604,2.13544e-05,0.003336972,0.000637443,0.006244944,2.05584e-05,0.000579644,0.000133421,0.001265011,0.124518812,0.273329518,0.041435742,0.260284005,1.029335848,0.239264801,0.03350004,0.534347684,0.154086394,0.458212125
"46","Ctrl",8.56511e-05,0.001882602,0.000688726,0.004135644,4.47545e-05,0.004248738,0.000713046,0.012892946,5.1923e-05,0.003977618,0.000157282,0.015362929,1.93903e-06,0.002158588,0.000327812,0.003154119,1.43244e-05,0.00049882,6.8891e-05,0.00062418,0.124361768,0.455213862,0.062765263,0.329539759,0.330126579,0.258910118,0.005915054,0.684371385,0.207928522,0.799160406
"47","Ctrl",0.000426986,0.001280455,0.000594352,0.003231102,0.000182131,0.002454308,0.000713879,0.008756655,5.27899e-05,0.003709729,0.000241625,0.020993761,2.05459e-07,0.00199718,0.000245325,0.00332415,6.2997e-06,0.000275604,4.84031e-05,0.000300461,0.718404801,0.396290493,0.255128745,0.280279119,0.218478916,0.176706268,0.000837499,0.600809136,0.130150987,0.917272696
"48","Ctrl",8.84229e-05,0.000993592,0.000550074,0.002013771,2.88258e-05,0.002045651,0.000709709,0.005416641,3.03787e-05,0.005981364,0.000329103,0.025026788,1.42849e-06,0.002396219,0.000232922,0.002498025,5.15369e-07,0.000293797,4.633e-05,0.000316761,0.160747412,0.493398542,0.040616318,0.377660357,0.092307431,0.238998477,0.006132924,0.959245132,0.011123878,0.927502629
"49","Ctrl",0.000141081,0.001637309,0.001035006,0.005913825,2.50827e-05,0.002412356,0.00062362,0.00910068,7.91566e-05,0.00394792,0.000355562,0.016945108,1.02742e-05,0.001775384,0.000365937,0.003430071,9.28268e-08,0.000357628,7.69641e-05,0.000592936,0.136309152,0.276861305,0.040221042,0.265074251,0.222623546,0.232982854,0.028076429,0.517594124,0.001206104,0.603147085
"50","Ctrl",6.75004e-05,0.000873039,0.000468254,0.002160758,7.96644e-06,0.002591277,0.000670616,0.010955863,4.03128e-08,0.005371185,0.000211228,0.031178808,1.00674e-05,0.003645201,0.000848541,0.007553883,2.05371e-05,0.000345253,6.5366e-05,0.000647082,0.144153337,0.404043063,0.011879282,0.23651963,0.000190849,0.17227037,0.011864386,0.482559871,0.314186884,0.533554387
